"year","anomaly_1y","unc_1y","anomaly_5y","unc_5y"
1850,-0.441,0.179,NA,NA
1851,-0.327,0.169,NA,NA
1852,-0.3,0.17,-0.334,0.149
1853,-0.306,0.18,-0.302,0.148
1854,-0.294,0.182,-0.318,0.141
1855,-0.286,0.172,-0.367,0.143
1856,-0.405,0.139,-0.374,0.131
1857,-0.547,0.168,-0.361,0.118
1858,-0.339,0.135,-0.379,0.123
1859,-0.226,0.143,-0.39,0.126
1860,-0.379,0.194,-0.394,0.128
1861,-0.458,0.16,-0.394,0.129
1862,-0.569,0.17,-0.421,0.138
1863,-0.34,0.149,-0.396,0.132
1864,-0.358,0.154,-0.344,0.132
1865,-0.257,0.16,-0.261,0.134
1866,-0.197,0.16,-0.231,0.133
1867,-0.152,0.154,-0.2,0.131
1868,-0.193,0.156,-0.203,0.126
1869,-0.2,0.145,-0.23,0.11
1870,-0.275,0.141,-0.258,0.098
1871,-0.329,0.105,-0.272,0.087
1872,-0.295,0.1,-0.294,0.085
1873,-0.261,0.104,-0.309,0.08
1874,-0.309,0.113,-0.313,0.078
1875,-0.351,0.101,-0.248,0.079
1876,-0.352,0.092,-0.174,0.077
1877,0.03,0.097,-0.16,0.073
1878,0.11,0.095,-0.152,0.07
1879,-0.236,0.095,-0.121,0.07
1880,-0.311,0.101,-0.177,0.071
1881,-0.196,0.096,-0.259,0.074
1882,-0.25,0.093,-0.307,0.074
1883,-0.304,0.091,-0.333,0.069
1884,-0.475,0.083,-0.388,0.064
1885,-0.44,0.079,-0.439,0.063
1886,-0.469,0.075,-0.438,0.062
1887,-0.507,0.087,-0.377,0.061
1888,-0.297,0.084,-0.381,0.065
1889,-0.171,0.081,-0.357,0.068
1890,-0.463,0.088,-0.337,0.068
1891,-0.347,0.087,-0.356,0.069
1892,-0.409,0.081,-0.397,0.071
1893,-0.389,0.083,-0.366,0.071
1894,-0.379,0.086,-0.34,0.073
1895,-0.306,0.087,-0.299,0.075
1896,-0.218,0.096,-0.303,0.075
1897,-0.201,0.094,-0.275,0.075
1898,-0.411,0.084,-0.24,0.075
1899,-0.238,0.085,-0.237,0.076
1900,-0.13,0.088,-0.27,0.076
1901,-0.203,0.091,-0.28,0.076
1902,-0.366,0.092,-0.337,0.077
1903,-0.464,0.085,-0.379,0.079
1904,-0.521,0.091,-0.389,0.078
1905,-0.34,0.09,-0.401,0.077
1906,-0.255,0.089,-0.397,0.075
1907,-0.425,0.084,-0.395,0.072
1908,-0.446,0.077,-0.421,0.068
1909,-0.511,0.076,-0.467,0.065
1910,-0.471,0.077,-0.465,0.063
1911,-0.483,0.075,-0.452,0.062
1912,-0.413,0.073,-0.39,0.06
1913,-0.383,0.069,-0.325,0.061
1914,-0.199,0.072,-0.305,0.061
1915,-0.147,0.079,-0.329,0.062
