longitude,latitude,visibility,class,fur,howl,saw,heard
-71.5,41.45,2.75,0,FALSE,FALSE,FALSE,FALSE
-99.1702,35.3011,10,0,FALSE,FALSE,TRUE,FALSE
-73.73717,41.29873,6.922,0,FALSE,FALSE,TRUE,FALSE
-119.975,39.592,8.88,0,TRUE,FALSE,FALSE,TRUE
-72.33093,43.41549,9.7,0,FALSE,FALSE,FALSE,TRUE
-96.34203,42.15685,8.25,0,FALSE,FALSE,TRUE,FALSE
-101.3166,48.25422,10,0,FALSE,FALSE,TRUE,TRUE
-82.26195,35.74875,9.5,0,FALSE,FALSE,FALSE,FALSE
-112.571,46.05292,10,0,FALSE,FALSE,FALSE,FALSE
-112.4554,45.9754,3.67,0,TRUE,FALSE,TRUE,FALSE
-82.22121,35.75278,7.22,0,FALSE,FALSE,TRUE,TRUE
-75.11044,40.76345,9.91,0,FALSE,FALSE,FALSE,FALSE
-74.85561,40.8192,10,0,FALSE,FALSE,TRUE,FALSE
-74.79077,40.89452,9.16,0,FALSE,FALSE,FALSE,FALSE
-105.4113,36.599,10,0,FALSE,FALSE,FALSE,FALSE
-105.5596,36.19625,10,0,FALSE,TRUE,FALSE,TRUE
-105.9678,36.65339,9.21,0,FALSE,FALSE,FALSE,FALSE
-119.6665,39.679,9.62,0,TRUE,FALSE,TRUE,TRUE
-119.6665,39.679,10,0,FALSE,FALSE,TRUE,TRUE
-81.73172,39.40877,3.92,0,FALSE,FALSE,TRUE,TRUE
-81.39101,39.54739,4.82,0,FALSE,FALSE,TRUE,FALSE
-81.54855,39.46019,5.3,0,FALSE,FALSE,TRUE,FALSE
-81.65929,39.3731,6.07,0,FALSE,FALSE,TRUE,TRUE
-81.37085,39.42635,1.97,0,FALSE,FALSE,FALSE,FALSE
-71.65183,41.432,5.71,0,FALSE,FALSE,TRUE,FALSE
-71.58906,41.4596,10,0,FALSE,FALSE,TRUE,FALSE
-115.3903,47.62167,9.91,0,FALSE,FALSE,TRUE,FALSE
