age,Q_trop_high,Q_trop_mid,Q_trop_low,Q_stra_high,Q_stra_mid,Q_stra_low,EDML,GRIP
0,0.428409784,0.459311856,0.24655221,1.62200326,0.800246375,0.078343113,,
20,0.456334077,0.478943224,0.249117895,1.766866986,0.848754081,0.079180782,,
40,0.472146589,0.489491852,0.250086704,1.849576034,0.875253981,0.07947676,,
60,0.46796484,0.485328456,0.248380486,1.827682462,0.8657017,0.078859655,,
80,0.43353577,0.458937655,0.242540634,1.647754609,0.801832219,0.076830552,,
100,0.426530103,0.452982585,0.240798875,1.612481241,0.788064052,0.076216211,,
120,0.468080441,0.483607572,0.246498202,1.828259921,0.862557347,0.078159655,,
140,0.477682976,0.490427184,0.247664059,1.879651949,0.879570852,0.078556313,,
160,0.400985768,0.432992184,0.236344734,1.483973094,0.741002275,0.074680786,,
180,0.398070092,0.430908659,0.236113273,1.469798203,0.736082005,0.074609946,,
200,0.428896513,0.455153995,0.241567184,1.624397965,0.793000395,0.076490517,,
220,0.473191026,0.488737516,0.248647476,1.855136337,0.874319631,0.078937837,,
240,0.565849522,0.553799008,0.260523923,2.375018851,1.041432685,0.083049416,,
260,0.603252731,0.578868598,0.265043182,2.601602856,1.109115193,0.084632963,,
280,0.578586225,0.563748546,0.263315141,2.451433552,1.067218693,0.084054175,,
300,0.536092417,0.535771761,0.259238767,2.204168095,0.992702944,0.082663039,,
320,0.470741545,0.490125783,0.251643262,1.842250968,0.875824505,0.080060997,,3.998707815
340,0.417141285,0.449928158,0.244045919,1.565266259,0.778384215,0.077463959,,3.610935943
360,0.422219836,0.454390796,0.245441828,1.590839473,0.788651503,0.077959006,,3.745543099
380,0.463427801,0.486215668,0.252232695,1.804009392,0.865347792,0.08030954,,3.696584572
400,0.512038885,0.521974013,0.259174033,2.067466938,0.954884016,0.082714926,,4.284593907
420,0.557723538,0.553876262,0.264818372,2.328482625,1.038116878,0.084674324,,4.536025657
440,0.562494687,0.55737486,0.265568949,2.35589258,1.047171254,0.084939252,,4.359596916
460,0.57480679,0.565713992,0.26696441,2.42853189,1.069441866,0.085423909,,4.434207798
480,0.593630442,0.577810819,0.268687726,2.543158206,1.102697216,0.086017025,,4.875746077
500,0.595491299,0.578505515,0.268411844,2.554475699,1.104955773,0.085909308,,4.698339772
520,0.566818578,0.558999474,0.264821834,2.380695392,1.052276182,0.084647599,,4.105325611
540,0.539848146,0.539515274,0.26079145,2.22576428,1.001753697,0.083229577,,3.956908727
560,0.476653323,0.493720558,0.251708252,1.874090334,0.885250811,0.080063327,,3.575048123
580,0.423562235,0.452712326,0.242592235,1.59756512,0.786259836,0.076895386,,3.237968751
600,0.484931094,0.497109585,0.250177101,1.919272349,0.895447636,0.079464776,,3.685632751
620,0.568302997,0.552949977,0.258487069,2.389047406,1.04074984,0.082282882,,4.334868629
640,0.583261879,0.56067504,0.258270098,2.479742198,1.063089321,0.082161637,,4.378764013
660,0.564571179,0.546758197,0.254672718,2.367527509,1.026785065,0.080873617,,4.427598295
680,0.502690658,0.503235951,0.245946803,2.016174738,0.914917346,0.077827531,,3.96471946
700,0.459814575,0.471374518,0.238804477,1.78492873,0.836352925,0.075334817,,3.227117057
720,0.473544184,0.479653451,0.238958326,1.856921914,0.857548951,0.075335155,,3.365005306
740,0.450190883,0.461355297,0.234199294,1.734547492,0.813767017,0.073664115,,3.243277828
760,0.44105053,0.453393402,0.231429025,1.686717684,0.795237811,0.072679138,,3.419145063
780,0.460246278,0.465753604,0.232535159,1.787087146,0.82621856,0.07302236,,3.562828329
800,0.428414058,0.441790381,0.226950645,1.621792727,0.768884558,0.071097606,,3.34363401
820,0.408421529,0.42602792,0.222849259,1.52116086,0.732251254,0.069681295,,3.399071274
840,0.413583655,0.428800774,0.222419876,1.547122189,0.739438507,0.069508225,,3.473000676
860,0.434948082,0.443335203,0.22425871,1.654694294,0.774469314,0.070100351,,3.38465042
880,0.496682541,0.484568812,0.230503396,1.983033106,0.877032701,0.072183912,,3.47314353
900,0.548095663,0.516572983,0.234640973,2.272377948,0.960249922,0.073558063,,3.751975233
920,0.523682446,0.500130164,0.231248747,2.132249271,0.917991085,0.072383682,,4.174377558
940,0.482249871,0.4720797,0.225902311,1.90416406,0.84747125,0.070554162,,3.821334512
960,0.461958167,0.457577617,0.222699494,1.795836206,0.812074488,0.069452361,,3.715403672
980,0.430006341,0.434699521,0.217894046,1.629654846,0.75701861,0.067812517,,3.070688902
1000,0.41429565,0.422744532,0.214944326,1.550594775,0.729177556,0.066799957,,3.083030321
1020,0.421609885,0.427280133,0.21514988,1.587383492,0.740322736,0.066848573,,3.388092243
1040,0.477424122,0.464895786,0.22118444,1.877725617,0.832066701,0.068856599,,3.811362726
1060,0.485557016,0.469537781,0.221368778,1.922103155,0.844192163,0.068901107,,3.550701003
1080,0.433416245,0.433991752,0.214836617,1.646753124,0.757198572,0.066693179,,3.331993224
1100,0.432104639,0.432583855,0.214126178,1.64014549,0.75415127,0.066440578,,3.412081295
1120,0.458300683,0.449852301,0.216701922,1.776600091,0.796456502,0.067292241,,3.262997654
1140,0.459106498,0.449905533,0.216335549,1.78079996,0.796868346,0.067159426,,3.124815896
1160,0.496497144,0.473911397,0.219921081,1.981740604,0.856901539,0.068352751,,3.466210565
1180,0.4892163,0.468804823,0.218794715,1.941990361,0.844295598,0.067966527,,3.503061692
1200,0.431750896,0.430194013,0.211973096,1.638318415,0.749668354,0.065672904,,3.294485309
1220,0.474993864,0.458735867,0.216485436,1.864342337,0.819523071,0.067173269,3.645262859,3.665286228
1240,0.545050333,0.502028514,0.222707091,2.254466271,0.930454617,0.069249011,4.057670565,4.161064175
1260,0.568552487,0.515642108,0.224268631,2.389241357,0.966356886,0.069761966,4.404519301,4.655909451
1280,0.577208556,0.519867668,0.224343708,2.441603485,0.97827147,0.069774427,4.407333971,4.748261624
1300,0.523643726,0.487098268,0.219143471,2.131615863,0.89274774,0.068016236,4.260828368,4.131290296
1320,0.464893502,0.4490577,0.212593678,1.810926016,0.797486602,0.065808886,4.060654488,3.840952124
1340,0.479237433,0.457521132,0.213339931,1.887390656,0.818912317,0.066040557,3.890205784,3.92808861
1360,0.472192055,0.452158345,0.211810793,1.849025591,0.806008633,0.065510483,3.880718396,3.834832158
1380,0.461442859,0.444169378,0.209781033,1.792822771,0.787050538,0.064813743,3.778269866,3.57521851
1400,0.449830814,0.435652053,0.207664841,1.732114122,0.766813403,0.064088554,3.682227423,3.345478438
1420,0.40604536,0.405328216,0.201677473,1.508870565,0.694853858,0.062076495,3.626582219,3.327396623
1440,0.388596457,0.392217748,0.198476803,1.423292861,0.664961574,0.06099201,3.544345066,3.293512892
1460,0.420766273,0.413447686,0.201561307,1.582867613,0.715131004,0.061991701,3.454484319,3.523090819
1480,0.447096909,0.429857381,0.203548197,1.717729755,0.755058499,0.062626639,3.42718603,3.486705645
1500,0.482128094,0.451056505,0.206115005,1.902925895,0.807752846,0.063453755,3.577034668,3.489467288
1520,0.508496065,0.466037957,0.207527328,2.046718833,0.846087324,0.063897185,3.904389014,3.580366054
1540,0.465666823,0.438697955,0.202615575,1.814673865,0.778381649,0.06224495,3.992255613,3.455354514
1560,0.428253112,0.413759243,0.197836237,1.620407201,0.718529876,0.06064147,3.776154867,3.11147661
1580,0.431891246,0.4153132,0.19743663,1.63867709,0.722699831,0.060488266,3.624927806,3.118926815
1600,0.441862024,0.420822169,0.197656535,1.690225781,0.736545801,0.060539544,3.61220036,3.156672132
1620,0.432205325,0.413809909,0.195853114,1.64020962,0.720127939,0.059923127,3.565606476,2.918850336
1640,0.397933296,0.390417513,0.191212094,1.468481417,0.665446817,0.058374075,3.45910974,2.8379169
1660,0.413670736,0.400103529,0.19229969,1.54698542,0.688634764,0.058712957,3.423650482,3.310718223
1680,0.504707208,0.455895819,0.200479716,2.0257494,0.82537999,0.061390299,3.583264975,3.842532531
1700,0.523052621,0.465871977,0.201388205,2.12744166,0.851157681,0.061673507,3.785308226,3.52693724
1720,0.46909546,0.433448824,0.196298375,1.832343302,0.769968951,0.05998298,3.806751245,3.219431518
1740,0.429363017,0.408215034,0.191994313,1.625819065,0.709054115,0.05855688,3.733529665,3.320604238
1760,0.407230084,0.393431118,0.189165711,1.514547077,0.674369077,0.057616384,3.543311301,3.220402116
1780,0.421174233,0.402027385,0.19026044,1.584631614,0.694944539,0.05796407,3.461317933,3.234753699
1800,0.448550187,0.41890983,0.192663952,1.724982915,0.735682101,0.058742327,3.543276358,3.282347417
1820,0.462931147,0.427391217,0.193684194,1.800076112,0.756552968,0.05906734,3.741986359,4.058226934
1840,0.43238443,0.408197597,0.190452597,1.640953662,0.710146478,0.057998392,3.983547372,3.502252294
1860,0.439056116,0.412079277,0.190845701,1.675372069,0.719675885,0.058119777,3.828166562,3.214892392
1880,0.445458224,0.415804746,0.191257799,1.708800008,0.728870778,0.058249434,3.907826117,3.596609514
1900,0.434923086,0.409154311,0.19009175,1.653777417,0.712804653,0.057862206,4.080491771,3.258628793
1920,0.45665164,0.422335554,0.192002761,1.767244751,0.744968346,0.058484788,3.879028841,2.991008615
1940,0.44461174,0.414811278,0.190737896,1.704365685,0.72674854,0.058066411,3.689412988,3.246034437
1960,0.43220604,0.407053334,0.189459454,1.640028883,0.708032068,0.057645083,3.558725501,3.094164296
1980,0.473121121,0.432109844,0.193271766,1.853358903,0.768952882,0.058892814,3.492533864,3.24445362
2000,0.449347578,0.417473288,0.190961436,1.729089951,0.733373572,0.058133309,3.62318166,3.449601552
2020,0.409501935,0.392244374,0.186806924,1.525903273,0.673182434,0.056769658,3.576369105,3.307337998
2040,0.432037703,0.406563496,0.189080159,1.639172347,0.707093329,0.057510458,3.375362448,3.377027351
2060,0.431061843,0.405893245,0.18893399,1.634266144,0.705535282,0.057461374,3.2956391,3.269842607
2080,0.437276138,0.409774507,0.189540222,1.666042783,0.714836672,0.05765935,3.42779973,3.353387948
2100,0.466553548,0.427676552,0.19227738,1.818930935,0.758394405,0.058555853,3.539914631,3.298359277
2120,0.469643272,0.429532969,0.192536917,1.835064545,0.762930361,0.058640005,3.560443327,3.278147734
2140,0.457999423,0.422450535,0.191481571,1.774261017,0.745676412,0.058295316,3.647213931,2.971759651
2160,0.424963899,0.402094339,0.188390181,1.603618808,0.696495208,0.05728633,3.720519845,3.127577234
2180,0.392669799,0.381308532,0.185003185,1.44279382,0.647647743,0.056182145,3.622066308,3.395016278
2200,0.377966096,0.371649704,0.18343233,1.371393278,0.625326164,0.055673398,3.343652711,3.187264367
2220,0.380936637,0.373843395,0.183998087,1.385823141,0.630250454,0.055864549,3.169012938,3.021688333
2240,0.416299701,0.397346865,0.188251189,1.560089892,0.684795364,0.057263269,3.214333646,3.208858429
2260,0.473542375,0.433245064,0.194099686,1.855684686,0.771218631,0.05918712,3.321924372,3.285494779
2280,0.559135797,0.482337404,0.201069077,2.333988526,0.896273033,0.061485805,3.625344595,3.97017456
2300,0.588715366,0.498306145,0.20320212,2.510112982,0.93859466,0.062193258,4.136412429,4.086848164
2320,0.561529631,0.484029056,0.201535038,2.347719231,0.900442312,0.061647371,4.416509065,3.813179219
2340,0.534880328,0.469364723,0.199686306,2.195067508,0.862282228,0.061041667,4.395514761,3.67660354
2360,0.437302141,0.41168255,0.191319319,1.666231117,0.718278022,0.058293255,3.986266601,3.204477435
2380,0.372399983,0.369236523,0.184138361,1.344403769,0.618982716,0.055943409,3.487474205,3.016725113
2400,0.385663476,0.378268786,0.185846668,1.408804647,0.639694899,0.056506158,3.208904917,2.824407494
2420,0.399404969,0.387675318,0.187660865,1.475543801,0.661246229,0.057105048,3.129031515,3.211045773
2440,0.403569483,0.390671948,0.188384149,1.496136599,0.668087605,0.057349163,3.244300729,3.2072762
2460,0.418320714,0.400556902,0.190313923,1.570297037,0.691246178,0.057991765,3.361135993,3.152395501
2480,0.430319987,0.408764658,0.192030954,1.630627812,0.710394333,0.05856703,3.542380217,3.448381499
2500,0.413317279,0.398160743,0.190593108,1.545166194,0.685074029,0.058106298,3.514342365,3.469113782
2520,0.387556549,0.38152181,0.188085797,1.418040812,0.646029005,0.05729645,3.332992654,3.074706062
2540,0.380592349,0.377303529,0.187752276,1.384227073,0.636024347,0.057201217,3.270190822,3.001531409
2560,0.373773067,0.373125976,0.187389035,1.351115135,0.626136478,0.057094844,3.237052576,3.252631577
2580,0.391518781,0.3856551,0.190030586,1.437316546,0.654707657,0.057975147,3.158216986,3.228255336
2600,0.441878044,0.419233624,0.196167296,1.690263848,0.73368354,0.060008753,3.295029971,3.595104882
2620,0.451022231,0.42553989,0.197597118,1.738046665,0.748686432,0.060494233,3.484891569,3.813276003
2640,0.458168736,0.430569642,0.198797287,1.775394906,0.760608077,0.060903204,3.40793874,3.122786998
2660,0.535954243,0.477721474,0.206147442,2.201565191,0.878950151,0.063347146,3.600211576,3.768762393
2680,0.592166484,0.509588829,0.210731282,2.5315945,0.962688878,0.064879112,4.105110218,4.254653883
2700,0.606519871,0.517768884,0.212050734,2.618782484,0.98446476,0.065326319,4.285656158,4.361125137
2720,0.601299933,0.515195128,0.211878385,2.587097818,0.977362631,0.065273633,4.366028337,4.590733352
2740,0.56945194,0.498134937,0.209799454,2.393700012,0.931243704,0.064584753,4.472111756,4.490826945
